title,brand,category,rating,stock
Carbon Steel Wok,,kitchen-accessories,4.05,40
Watch Gold for Women,Fashion Gold,womens-watches,4.24,0
Blue Women's Handbag,Fashionista,womens-bags,2.92,76
Green Bell Pepper,,groceries,3.25,33
Green Crystal Earring,,womens-jewellery,3.96,54
Sports Sneakers Off White & Red,Off White,mens-shoes,4.77,17
Girl Summer Dress,,tops,4.77,43
Kawasaki Z800,Kawasaki,motorcycle,3.98,52
Nescafe Coffee,,groceries,4.82,57
Women Handbag Black,Elegance Collection,womens-bags,2.89,11
Chicken Meat,,groceries,3.19,97
iPhone 5s,Apple,smartphones,2.83,25
Knoll Saarinen Executive Conference Chair,Knoll,furniture,4.88,26
Classic Sun Glasses,Fashion Shades,sunglasses,3.86,1
Red Onions,,groceries,4.2,82
Prada Women Bag,Prada,womens-bags,2.71,75
Electric Stove,,kitchen-accessories,4.11,21
White Faux Leather Backpack,Urban Chic,womens-bags,3.36,39
Tissue Paper Box,,groceries,2.69,86
Feather Shuttlecock,,sports-accessories,2.85,95
Chanel Coco Noir Eau De,Chanel,fragrances,4.26,58
Fish Steak,,groceries,3.78,74
Cricket Ball,,sports-accessories,3.53,30
Puma Future Rider Trainers,Puma,mens-shoes,4.9,90
Selfie Lamp with iPhone,GadgetMaster,mobile-accessories,3.55,58
Apple Watch Series 4 Gold,Apple,mobile-accessories,2.74,33
Dog Food,,groceries,4.55,71
Gray Dress,,tops,2.72,55
Table Lamp,,home-decoration,3.55,9
Baseball Ball,,sports-accessories,2.57,100
Samsung Galaxy Tab White,Samsung,tablets,3.72,92
Cucumber,,groceries,4.07,84
Family Tree Photo Frame,,home-decoration,4.53,77
Plate,,kitchen-accessories,3.65,66
Boxed Blender,,kitchen-accessories,4.56,9
Fine Mesh Strainer,,kitchen-accessories,3.04,85
Vaseline Men Body and Face Lotion,Vaseline,skin-care,3.16,95
Apple iPhone Charger,Apple,mobile-accessories,4.15,31
Realme X,Realme,smartphones,3.7,12
Cat Food,,groceries,3.13,46
Apple HomePod Mini Cosmic Grey,Apple,mobile-accessories,4.62,27
Plant Pot,,home-decoration,3.01,59
300 Touring,Chrysler,vehicle,4.05,54
Cooking Oil,,groceries,4.8,10
Football,,sports-accessories,3.28,96
Eggs,,groceries,2.53,9
Oppo F19 Pro Plus,Oppo,smartphones,3.51,78
Apple MagSafe Battery Pack,Apple,mobile-accessories,3.62,1
Potatoes,,groceries,4.81,13
Gigabyte Aorus Men Tshirt,Gigabyte,mens-shirts,3.18,90
Man Plaid Shirt,Classic Wear,mens-shirts,3.46,82
Tennis Ball,,sports-accessories,4.06,28
Cricket Helmet,,sports-accessories,4.69,10
Golden Shoes Woman,Fashion Diva,womens-shoes,3.26,88
Fork,,kitchen-accessories,3.11,7
Ice Cream,,groceries,3.39,27
Amazon Echo Plus,Amazon,mobile-accessories,4.99,61
Citrus Squeezer Yellow,,kitchen-accessories,4.63,22
Marni Red & Black Suit,,womens-dresses,4.48,62
Annibale Colombo Bed,Annibale Colombo,furniture,4.77,88
Sunglasses,Fashion Shades,sunglasses,3.02,27
Wooden Rolling Pin,,kitchen-accessories,2.92,80
Wooden Bathroom Sink With Mirror,Bath Trends,furniture,3.59,7
Basketball,,sports-accessories,4.66,75
House Showpiece Plant,,home-decoration,4.67,28
Yellow Peeler,,kitchen-accessories,4.24,35
Kitchen Sieve,,kitchen-accessories,3.09,68
Samsung Galaxy S10,Samsung,smartphones,3.06,19
iPhone 6,Apple,smartphones,3.41,60
iPad Mini 2021 Starlight,Apple,tablets,3.18,47
Rolex Cellini Date Black Dial,Rolex,mens-watches,4.97,40
Rolex Datejust Women,Rolex,womens-watches,2.86,4
Lenovo Yoga 920,Lenovo,laptops,2.86,40
Brown Leather Belt Watch,Fashion Timepieces,mens-watches,4.19,32
Generic Motorcycle,Generic Motors,motorcycle,4.91,34
Pan,,kitchen-accessories,2.79,90
Calvin Klein Heel Shoes,Calvin Klein,womens-shoes,4.92,93
Ice Cube Tray,,kitchen-accessories,4.71,13
Bamboo Spatula,,kitchen-accessories,3.27,37
Volleyball,,sports-accessories,3.84,0
Rolex Submariner Watch,Rolex,mens-watches,2.69,55
Sportbike Motorcycle,SpeedMaster,motorcycle,3.94,0
Tray,,kitchen-accessories,4.62,71
Corset Leather With Skirt,,womens-dresses,3.05,30
New DELL XPS 13 9300 Laptop,Dell,laptops,2.67,74
American Football,,sports-accessories,4.91,53
Dolce Shine Eau de,Dolce & Gabbana,fragrances,3.96,4
Soft Drinks,,groceries,4.75,53
Lunch Box,,kitchen-accessories,4.93,94
Attitude Super Leaves Hand Soap,Attitude,skin-care,3.19,94
Kiwi,,groceries,4.93,99
Tropical Earring,,womens-jewellery,4.4,1
iPhone 12 Silicone Case with MagSafe Plum,Apple,mobile-accessories,3.62,69
Chopping Board,,kitchen-accessories,3.7,14
Short Frock,,tops,3.23,22
Realme C35,Realme,smartphones,4.2,48
Black Aluminium Cup,,kitchen-accessories,4.46,75
Tennis Racket,,sports-accessories,4.03,6
Asus Zenbook Pro Dual Screen Laptop,Asus,laptops,3.95,45
Beef Steak,,groceries,4.47,86
Essence Mascara Lash Princess,Essence,beauty,2.56,99
Samsung Galaxy S8,Samsung,smartphones,4.4,0
Dress Pea,,womens-dresses,4.88,6
MotoGP CI.H1,MotoGP,motorcycle,2.97,10
Bedside Table African Cherry,Furniture Co.,furniture,2.87,64
Vivo V9,Vivo,smartphones,3.6,82
Green and Black Glasses,Fashion Shades,sunglasses,4.55,24
Cricket Wicket,,sports-accessories,4.73,25
Spoon,,kitchen-accessories,4.03,59
Black Whisk,,kitchen-accessories,3.9,73
Oppo A57,Oppo,smartphones,3.94,19
Red Nail Polish,Nail Couture,beauty,4.32,79
Honey Jar,,groceries,3.97,34
Black Sun Glasses,Fashion Shades,sunglasses,4.41,60
Calvin Klein CK One,Calvin Klein,fragrances,4.37,29
Oppo K1,Oppo,smartphones,4.25,55
iPhone 13 Pro,Apple,smartphones,4.12,56
Cricket Bat,,sports-accessories,3.17,98
Decoration Swing,,home-decoration,3.16,47
Red Tongs,,kitchen-accessories,4.42,82
Apple Airpods,Apple,mobile-accessories,4.15,67
Egg Slicer,,kitchen-accessories,3.09,40
Red Shoes,Fashion Express,womens-shoes,3.25,7
Blue & Black Check Shirt,Fashion Trends,mens-shirts,3.64,38
Gucci Bloom Eau de,Gucci,fragrances,2.74,91
Samsung Galaxy S7,Samsung,smartphones,3.3,67
Silver Pot With Glass Cap,,kitchen-accessories,3.22,40
Apple,,groceries,4.19,8
Monopod,TechGear,mobile-accessories,4.43,48
Heshe Women's Leather Bag,Heshe,womens-bags,4.92,99
Baseball Glove,,sports-accessories,3.96,22
Party Glasses,Fashion Fun,sunglasses,2.79,86
Charger SXT RWD,Dodge,vehicle,2.58,57
Rolex Cellini Moonphase,Rolex,womens-watches,3.83,52
Apple MacBook Pro 14 Inch Space Grey,Apple,laptops,3.65,24
Basketball Rim,,sports-accessories,4.6,43
Powder Canister,Velvet Touch,beauty,4.64,89
Rolex Cellini Moonphase,Rolex,mens-watches,2.58,36
Milk,,groceries,2.61,27
Durango SXT RWD,Dodge,vehicle,4.07,95
Iron Golf,,sports-accessories,4.41,90
Scooter Motorcycle,ScootMaster,motorcycle,2.53,84
Realme XT,Realme,smartphones,4.58,80
Longines Master Collection,Longines,mens-watches,3.87,100
Pacifica Touring,Chrysler,vehicle,3.62,53
TV Studio Camera Pedestal,ProVision,mobile-accessories,2.78,15
Golf Ball,,sports-accessories,4.3,84
Lemon,,groceries,3.53,31
Mug Tree Stand,,kitchen-accessories,2.64,88
Eyeshadow Palette with Mirror,Glamour Beauty,beauty,2.86,34
Women's Wrist Watch,Fashion Co.,womens-watches,3.52,12
Dior J'adore,Dior,fragrances,3.8,98
Corset With Black Skirt,,womens-dresses,4.52,33
Knife,,kitchen-accessories,3.26,7
Annibale Colombo Sofa,Annibale Colombo,furniture,3.92,60
